Front,Back
Hello,Chào
Good morning,Chào buổi sáng
Good evening,Chào buổi tối
My name is...,Tôi tên là...
What's your name?,Bạn tên là gì?
I am from...,Mình đến từ...
Where do you live?,Bạn sống ở đâu?
I live in...,Tôi sống ở...
Do you speak English?,Bạn có nói tiếng Anh không?
Please,Làm ơn
Thank you,Cảm ơn
You're welcome,Không có gì
Goodbye,Tạm biệt
Excuse me, Xin lỗi
How much is this?,Cái này giá bao nhiêu?
I want...,Tôi muốn...
I work as...,Tôi làm nghề...
What time is it?,Mấy giờ rồi?
Today,Hôm nay
Tomorrow,Ngày mai
Yesterday,Hôm qua
Morning,Buổi sáng
Afternoon,Buổi chiều
Evening,Buổi tối
Night,Đêm
Phone number,Số điện thoại
Help,Giúp đỡ
Where,Ở đâu
Come from,Đến từ
Study,Học
Teacher,Giáo viên
Student,Học sinh
Friend,Bạn
Nice to meet you,Rất vui được gặp bạn
Sorry,Xin lỗi
Please speak slowly,Nói chậm lại
Repeat again,Lặp lại
I don't understand,Tôi không hiểu
Can you repeat?,Bạn có thể nhắc lại không?
Yes,Vâng
No,Không
Maybe,Có thể
I like...,Tôi thích...
I don't like...,Tôi không thích...
How are you?,Bạn khỏe không?
I'm fine,Cảm ơn, tôi khỏe
See you later,Hẹn gặp lại
Good luck,Chúc may mắn
Happy birthday,Chúc mừng sinh nhật
