filename,size,initial_guess,notes
file-1hS9VRsxVWoyQF6SggWF8X-34a7247d-c116-453e-8851-e6f3e04cd66d.png,66K,UI capture,likely webpage or editor UI
file-1ot0uKJGvfet66paepJnxM6d-image.png,514K,video frame or high-res screenshot,large image - possible video frame
file-1rKUR3Y6y56SgQaJNY9U4G-image.png,352K,video frame or export,high-res
file-1tPtZ8nLJ7wJu37gE2Rx5n-image.png,51K,UI capture,small screenshot
file-1VJZ7zTnB5BHEgMIJS0hJ4KR-gui.jpg,113K,UI/GUI image,explicit 'gui' in name
file-1Ykjh9o3VYYkJ4v5823wAj-b96bdaff-aede-4134-8860-ab12760ee84c.png,614K,high-res asset,possibly exported slide or graphic
file-26N5kKEZwPNea8b5nDdRFi-17551394434858055325716364101130.jpg,867K,high-res photo,large JPG
file-2e6QRMMMHrpyuTnWTtSGrF-8385.png,943K,video frame or image collection,very large
file-2rMXcHystqRey2r1TZuqec-image.png,15K,thumbnail or small UI capture
file-3EspnfWvsWOmzCWyypbLmfXW-image.png,144K,UI capture or slide
file-3kF7DGVioDEYf8HU5uXYzK-c2535eca-36fd-4161-8a70-9f0c6ef53e0c.png,352K,image (unknown)
file-3mhV6kiEQTFUqKJh4vC3yc-image.png,170K,UI capture
file-3otoodk58NhP1Cu7HXEyFZ-image.png,352K,video frame
file-3QCxnKQ4uyopkeYcVnK4dj-loginlinkedin.png,77K,login page screenshot,contains 'loginlinkedin'
file-3SFVRCxu4JCPWqKMcCPxJW-8304.png,432K,video frame or exported image
file-4dZFnJRsvnDCnamM5gLrft-7c600412-f904-4d86-ab3e-ea0476747fce.png,86K,UI capture
file-4tKflDVqf8pAq93UQpJy3HAk-image.png,144K,UI capture
file-4xQDtCt8Y6TN7b5qunNDgt-image.png,82K,UI capture
file-548awacx5SU1cz6b3Hu5Ww-8099.jpg,299K,photo or screenshot
file-5BTpzepZ7oDrbReKWrjCNm-3595bda0-9356-4994-9db8-fb15ec5527f5.png,411K,high-res image
file-5Ec97UeHdpT4tMvNVcgVf6-image.png,78K,UI capture
file-5r3qxLkBgtFSD2MKkSZj2s-2b7be32c-53c2-4256-a135-7a02a5e06cc8.png,274K,graphic or screenshot
file-5RrBGNwDydEGg92hp6FCFj-image.png,26K,small UI capture
file-5woEkLeg1wdZU5dMGt36Tm-8302.png,414K,video frame or export
file-6KeTCWqzKPxg1ah2JtkyYF-2c3a1384-ed2e-458d-8a4e-89a55b3293a6.png,217K,image
file-6SuLnpNebTZ8kJwhWyXDxk-image.png,17K,thumbnail
file-7nyI9hS0FUQhRleDZVw3FphX-image.png,229K,UI or image
file-7P8SF8PFBUpohhKXTBK4XH-image.png,94K,UI capture
file-7Sa3kzcgkyjcTNHeupnahd-8222.png,442K,large image
